Time (s),Channel 1 (V),Channel 2 (V)
-0.5,-0.001560075866895178,-0.001780515689816592
-0.499875,-0.002572330125466773,-0.002117978338129264
-0.49975,-0.002572330125466773,-0.002117978338129264
-0.499625,-0.002234912039276241,-0.001443053041503921
-0.4995,-0.001560075866895178,-9.320244825323371e-05
-0.499375,-0.002909748211657305,0.001256648144997453
-0.49925,-0.001897493953085709,0.00260649873824814
-0.499125,-0.001897493953085709,0.003618886683186155
-0.499,-0.002234912039276241,0.003956349331498827
-0.498875,-0.001897493953085709,0.002943961386560812
-0.49875,-0.001897493953085709,0.001931573441622797
-0.498625,-0.0008852396945141138,0.0005817228483721098
-0.4985,-0.004259420556419433,-0.0007681277448785772
-0.498375,-0.0005478216083235818,-0.002455440986441936
-0.49825,-0.0008852396945141138,-0.002792903634754608
-0.498125,-0.004596838642609965,-0.001780515689816592
-0.498,-0.001560075866895178,-0.001105590393191249
-0.497875,-0.00021040352213305,0.000244260200059438
-0.49775,-0.003922002470228901,0.00260649873824814
-0.497625,-0.001897493953085709,0.003618886683186155
-0.4975,-0.002234912039276241,0.003618886683186155
-0.497375,-0.00021040352213305,0.003281424034873484
-0.49725,-0.005271674814991028,0.003281424034873484
-0.497125,-0.00021040352213305,0.001256648144997453
-0.497,-0.004259420556419433,0.000244260200059438
-0.496875,-0.002234912039276241,-0.001443053041503921
-0.49675,0.0008018507364385458,-0.002117978338129264
-0.496625,-0.006958765245943688,-0.001105590393191249
-0.4965,-0.001222657780704646,-0.001443053041503921
-0.496375,-0.002234912039276241,-0.0004306650965659054
-0.49625,-0.002572330125466773,0.001594110793310125
-0.496125,-0.001560075866895178,0.002943961386560812
-0.496,-0.005271674814991028,0.003618886683186155
-0.495875,0.0008018507364385458,0.002943961386560812
-0.49575,-0.003247166297847837,0.003618886683186155
-0.495625,-0.005946510987372092,0.00260649873824814
-0.4955,0.002151523081200673,-0.0004306650965659054
-0.495375,-0.003922002470228901,-0.0007681277448785772
-0.49525,-0.003584584384038369,-0.001105590393191249
-0.495125,-0.003247166297847837,-0.002117978338129264
-0.495,-0.0005478216083235818,-0.002117978338129264
-0.494875,-0.002909748211657305,-0.0004306650965659054
-0.49475,-0.003247166297847837,0.0009191854966847815
-0.494625,-0.0008852396945141138,0.002269036089935468
