Time (s),Channel 1 (V),Channel 2 (V)
-10.23862204724409,-0.0366515568307105,0.09372141378266952
-10.23612204724409,0.001814104994992648,-0.1053815487217163
-10.23362204724409,0.0277952976316811,0.07988544520184998
-10.23112204724409,-0.01775614400404071,-0.04970021175021598
-10.22862204724409,0.04972747323406567,0.03635276356951531
-10.22612204724409,-0.120668660292137,-0.03552678052104786
-10.22362204724409,-0.08557717932833761,0.04343947918408142
-10.22112204724409,-0.02855352276213773,-0.05239991293671736
-10.21862204724409,-0.07714172717355222,0.06874917780747672
-10.21612204724409,-0.04306250046829531,-0.0648860309242299
-10.21362204724409,0.03454365935549174,0.05896276100646432
-10.21112204724409,-0.0599334047778572,-0.05746185266140743
-10.20862204724409,-0.02956577702072313,0.04681410566716072
-10.20612204724409,-0.05622180582976134,-0.03485185522445843
-10.20362204724409,-0.07208045588071635,0.04175216594251806
-10.20112204724409,-0.02855352276213773,-0.04261349613564987
-10.19862204724409,-0.03327737596877862,0.02960351060324208
-10.19612204724409,0.02509595294215684,-0.01392917102907277
-10.19362204724409,-0.08726426975929027,0.01070560229775226
-10.19112204724409,-0.03597672065835275,-0.001105590393185878
-10.18862204724409,-0.05790889626071401,0.005643662573062186
-10.18612204724409,-0.01471938122832592,-0.005830067469568653
-10.18362204724409,0.04297911151025503,-0.0007681277448785772
-10.18112204724409,0.02948238806262102,-0.004817679524618514
-10.17862204724409,0.001476686908819609,0.02184186969207043
-10.17612204724409,0.06626095945740174,-0.02304066253351491
-10.17362204724409,-0.07612947291493796,0.007330975814611732
-10.17112204724409,0.09325440635264429,0.008005901111250888
-10.16862204724409,0.01463599227025035,-0.005830067469568653
-10.16612204724409,0.04972747323406567,0.002269036089935468
-10.16362204724409,-0.02382966955546982,0.0009191854966923011
-10.16112204724409,-0.02281741529689869,0.0174548552640057
-10.15862204724409,-0.04609926324404539,-0.04193857083902453
-10.15612204724409,-0.1024480836378386,0.05120112009523051
-10.15362204724409,0.01193664758070324,-0.03248961668625008
-10.15112204724409,-0.03833864726166315,0.01070560229775226
-10.14862204724409,-0.03530188448594837,0.001256648144997453
-10.14612204724409,0.08178219142211295,-0.01460409632569091
-10.14362204724409,0.06052485199216269,0.03635276356951531
-10.14112204724409,0.09932793190407385,-0.04160110819071186
-10.13862204724409,-0.03530188448594837,0.037702614162766
-10.13612204724409,0.0962911691283132,-0.02540290107168704
-10.13362204724409,-0.004596838642609965,0.01104306494606493
-10.13112204724409,0.0001270145640574819,0.003281424034873484
-10.12862204724409,0.03690558595880874,0.003618886683186002
-10.12612204724409,-0.01573163548689752,-0.01426663367738545
-10.12362204724409,-0.07241787396690688,0.02555395882350982
-10.12112204724409,0.05377649026835205,0.006993513166312873
-10.11862204724409,0.0112618114083389,-0.02439051312675701
-10.11612204724409,-0.002234912039276241,-0.005492604821255982
-10.11362204724409,0.02745787954549057,0.02082948174713242
-10.11112204724409,-0.03159028553782566,-0.02034096134699482
-10.10862204724409,-0.02180516103832709,0.01846724320894371
-10.10612204724409,-0.01910581634880283,-0.01291678308413476
-10.10362204724409,-0.03192770362404305,0.00260649873824814
-10.10112204724409,-0.01876839826262228,0.01475515407748944
-10.09862204724409,-0.04070057386499688,-0.01797872280882484
-10.09612204724409,-0.04474959089928326,0.02386664558194646
-10.09362204724409,-0.06971852927737127,-0.02810260225818135
-10.09112204724409,0.003501195425966023,0.03500291297623056
-10.08862204724409,0.01058697523596397,-0.0399137949491485
-10.08612204724409,-0.02855352276213773,0.05018873215033486
-10.08362204724409,-0.009320691849286158,-0.04835036115692048
-10.08112204724409,-0.00021040352213305,0.04512679242564478
-10.07862204724409,-0.02686643233118507,-0.04531319732215125
-10.07612204724409,-0.07174303779452582,0.03972739005264203
-10.07362204724409,-0.06465725798452004,-0.02742767696155402
-10.07112204724409,-0.05453471539880868,0.02892858530663654
-10.06862204724409,-0.0123574546249922,-0.04160110819071186
