Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
100.0000000000001,0.1009631934054124,-23.10645492552979,176.5372414673092
100.7854733840969,0.09535978433805019,-23.0126411630794,177.3132980097347
101.5771164525649,0.08908417314327009,-22.81597154316269,176.8451324301693
102.3749776666328,0.09822552124123124,-22.49251625644916,177.3710482581157
103.1791058681793,0.1109308990517556,-22.43970403145044,176.456510034159
103.9895502827228,0.0954718959952623,-22.23667762767852,175.8156572177811
104.8063605224356,0.1067978060961261,-22.05134974942851,176.2785258135511
105.6295865891799,0.09969389321458624,-21.91201548726083,176.4227334483689
106.4592788775694,0.1091245299955809,-21.95760670402534,176.7820298799179
107.2954881780541,0.117378778007806,-21.56535567875538,176.361953488503
108.1382656800294,0.08107659244466284,-21.66649049993135,175.5037940997557
108.9876629749699,0.11084573153434,-21.30791361550065,176.0763076873293
109.8437320595874,0.1134204555222822,-21.474096402764,175.281881693633
110.7065253390141,0.1053825551142387,-21.01999515968024,175.5920659808808
111.5760956300104,0.1121478011828769,-20.773215953108,175.5481303879838
112.4524961641985,0.1022072068619539,-20.71111734813789,175.8107222370999
113.3357805913208,0.09001929766859289,-20.48097275254519,175.6546689675604
114.226002982524,0.09367055563008189,-20.53576246862842,175.9049044178949
115.1232178336693,0.08731873076171046,-20.29607044466943,175.3956720614779
116.0274800686686,0.1033278708097448,-19.91643018010789,177.0080564186092
116.9388450428462,0.09865934846069174,-19.84304624000285,176.1144754484403
117.8573685463279,0.09228379279683491,-19.61620964527493,176.2699160807729
118.7831068074562,0.1041504104988412,-19.83509771638517,175.7330286957271
119.7161164962321,0.08297615321198518,-19.4630025886791,176.1714719868316
120.6564547277843,0.1069746098957599,-19.37976717563578,175.7383050306465
121.6041790658658,0.1035648122189098,-19.23096935325772,174.7007526069772
122.5593475263776,0.1022488396611876,-19.12806710936494,175.4989717930387
123.52201858092,0.1036580702581742,-18.93086242549581,175.5212929265487
124.4922511603723,0.1047516505828457,-18.72940838846974,175.6882893101957
125.4701046584999,0.1126390310417227,-18.468243783692,176.2014251490102
126.4556389355908,0.1022201619642797,-18.60654419054741,174.9884878830583
127.4489143221195,0.1099783629996763,-18.13954981057899,176.4135200803741
128.44999162244,0.1098096586453436,-18.19797965376878,175.773599399786
129.4589321185088,0.09744713315787872,-17.83417733507925,174.9871998892766
130.4757975736357,0.1095313791695196,-17.82456341029317,176.3606392118207
131.5006502362646,0.1096906207084194,-17.74835019648183,175.6506629626685
132.5335528437846,0.0918403528122482,-17.50406560706151,175.4271164180467
133.5745686263704,0.08186120361605534,-17.34067124797249,174.7502448619621
134.6237613108527,0.09619933879810613,-17.21627674480876,175.0362990612353
135.6811951246194,0.08358935406275463,-17.1029255678848,175.2039249885563
136.7469347995477,0.09916851840402838,-17.00277678476747,175.4197443679651
137.8210455759664,0.1184031734736986,-16.70660791022439,174.9621635915293
138.9035932066496,0.1250444762550148,-16.59312672357326,175.946984745429
139.9946439608419,0.1001057750597122,-16.3710852568191,175.8447002696388
141.0942646283154,0.07233468897630642,-16.29119713425351,175.0114115069445
142.2025225234579,0.1075810561911752,-16.26094584222783,175.0620100360631
143.3194854893939,0.1189171387423444,-15.96494609221784,175.1373310267467
144.4452219021375,0.1092824146720277,-15.75140480571607,174.7576972919332
145.5798006747785,0.08927851165599116,-15.69101269660171,175.2316123070476
146.7232912617,0.08774784340356133,-15.52767550062766,174.4907337975318
147.8757636628314,0.08305172935623482,-15.27867154891013,174.8371222328276
149.0372884279329,0.1102245244916536,-15.31381265690472,174.9373544125746
150.2079366609139,0.1006186208144996,-14.96901640407556,174.3087474413743
151.3877800241863,0.1124150267091708,-14.86536261080714,174.4944467466207
152.5768907430513,0.09522541927638806,-14.69005123072865,175.4136606490112
153.7753416101205,0.1037826604046052,-14.65871816940888,174.5798367528484
154.9832059897718,0.1104012517016782,-14.32787217944441,174.6229140740866
156.2005578226415,0.08767699703639305,-14.14487095482186,174.1390793110335
157.4274716301491,0.1072108337562552,-14.12095820769711,174.618131781602
158.6640225190604,0.1075567707646599,-13.95953176464029,174.2985105365979
159.910286186085,0.1069215380094138,-13.82576417909183,174.650971755581
161.1663389225097,0.09951667090352832,-13.61439311615358,174.3632415720425
162.4322576188692,0.1049642304018256,-13.43730202127527,174.1163007197871
163.708119769653,0.08565283680786881,-13.27909650183349,174.0801665206134
164.9940034780489,0.1056463500998108,-13.17875551703163,174.322912908473
166.2899874607248,0.1360462976603854,-12.96213047946176,174.8403117275481
167.5961510526466,0.09225083057851502,-12.80385714209475,174.522218976144
168.9125742119359,0.08770877605910601,-12.62132886443673,174.4218268278781
170.2393375247634,0.1022938894268602,-12.44669408009179,174.2186803764832
171.5765222102831,0.0808746932540088,-12.32093500288187,173.994465839225
172.9242101256038,0.1069366410261652,-12.22777515661207,174.1533688946624
174.2824837708001,0.07171497428304843,-11.96033996529208,173.4908821872222
175.6514262939625,0.09966350673398069,-11.83599275885328,173.6620610762432
177.031121496288,0.1019491537300555,-11.67414797644673,173.5539356065059
178.4216538372094,0.1175550663998696,-11.50711340885035,173.9234161497405
179.823108439566,0.08337341574886753,-11.34416347823571,173.8482825184815
181.2355710948143,0.1063812847033633,-11.17503695477529,173.5197844796484
182.6591282682799,0.11163892875772,-11.09992956821032,173.375929506554
184.0938671044505,0.1032348405374036,-10.88119225815652,173.2103156381716
185.5398754323105,0.1153173222734555,-10.73202533111264,173.1518367098629
186.9972417707176,0.1130167254499883,-10.55247277385376,173.399147766511
188.4660553338218,0.06804003155010492,-10.34781341323202,173.0953070863615
189.9464060365261,0.1124504002522006,-10.25661310267303,173.6848396729531
191.4383844999914,0.0914251254831827,-10.08407139453971,173.2708067218451
192.9420820571838,0.1051664422176893,-9.877593888584959,172.8208994242541
194.4575907584652,0.1086730735780811,-9.693073316594171,172.8362315732639
195.9850033772286,0.09364881242847879,-9.538196928599701,173.2897427498278
197.524413415578,0.08035960589537211,-9.327444918037337,172.7090956356206
199.0759151100507,0.07125904598127936,-9.225260502907378,172.9411181463371
200.6396034373873,0.07914905579488027,-9.125087910898491,172.5866851276477
202.2155741203453,0.1047565203735285,-8.887023305558014,172.7962658515854
203.8039236335592,0.1095796356361288,-8.696402878575102,172.9215690855715
205.4047492094458,0.08727158046815209,-8.551283828676432,172.4293818791297
207.0181488441567,0.09896369983061742,-8.437447618758332,172.8696743823695
208.6442213035775,0.06039345397018518,-8.16627241691336,172.6747987123391
210.2830661293731,0.08148555321540256,-8.039145985830752,172.3504758223884
211.9347836450819,0.1136894665145931,-7.922215560532168,172.1769328466927
213.5994749622572,0.08953720226334928,-7.676863116964428,172.3984278312741
215.2772419866563,0.09137939688916777,-7.523494981716351,172.3050354199839
216.9681874244792,0.0867606792153728,-7.342219786182205,172.1438238853432
