Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
100.0000000000001,0.07581337052895851,-0.04096556873400824,-16.78233037153356
100.0921458319297,0.07598046311612042,-0.04144506267001745,-16.79886393530241
100.1843765724027,0.07551098334389839,-0.04118116611183338,-16.81524061689555
100.2766922996588,0.07576724418238882,-0.04110003023863196,-16.83015584236753
100.3690930920098,0.07589573004046356,-0.04127591682869906,-16.84544975209042
100.4615790278396,0.07564660244920335,-0.04142549390078788,-16.86319341590659
100.5541501856044,0.07573280933079916,-0.04135910885356819,-16.87716835312325
100.6468066438326,0.07573164658607802,-0.04129176143409256,-16.89259059813361
100.7395484811252,0.07570100914595353,-0.04120943513234745,-16.90765043895829
100.8323757761552,0.07563200599094907,-0.04149809533850925,-16.92482915946044
100.9252886076685,0.07568251838158514,-0.04122298246950429,-16.9405028571907
101.0182870544834,0.0755535746885735,-0.041137096872862,-16.95676497920507
101.1113711954908,0.07583832439558709,-0.04115135515661213,-16.97181139045479
101.2045411096543,0.07585572476082748,-0.04160776341024463,-16.9878375648572
101.2977968760103,0.07585998991387186,-0.04142416860185662,-17.0040122815029
101.391138573668,0.07594644339850551,-0.04170227417272084,-17.01893383589277
101.4845662818096,0.07578041678590945,-0.04152974600785851,-17.03464254430482
101.5780800796901,0.0758815003028656,-0.04151981300311874,-17.04971758551638
101.6716800466377,0.07603295178107003,-0.04190812118632355,-17.06457524964645
101.7653662620534,0.0758529249265892,-0.04181649931841674,-17.08207601441713
101.8591388054118,0.07576495492592968,-0.04162155744694591,-17.09617022198944
101.9529977562604,0.0759978996515506,-0.04167637245137239,-17.11340122745123
102.04694319422,0.07594443926751092,-0.04172655910575809,-17.12901213147435
102.1409751989851,0.07628376973904649,-0.04208576840916457,-17.14716112673955
102.2350938503232,0.07596182424496391,-0.04169021685835624,-17.15567654318028
102.3292992280755,0.07582165897984762,-0.04183418896069532,-17.17582407570426
