Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
100.0000000000001,0.07866267066153287,-0.05116763764074947,-12.79222325112497
100.4615790278396,0.0788395916470848,-0.05142455276332873,-12.85203500512128
100.9252886076685,0.07903183853540455,-0.05146139373298352,-12.91138796604719
101.391138573668,0.07866269086345479,-0.05173369142880194,-12.97166251410636
101.8591388054118,0.07862585744393769,-0.05194335096459842,-13.03151150074024
102.3292992280755,0.07878030044967091,-0.05205449038416437,-13.0925163537717
102.8016298126474,0.07901511173435309,-0.05241585671883819,-13.1512473601077
103.2761405761399,0.07929044563253826,-0.05265302317010809,-13.2123480695581
103.7528415818014,0.0790254746025465,-0.05274318517049344,-13.27390327675793
104.2317429393305,0.07874910216033022,-0.05267333373972075,-13.33424781249352
104.7128548050901,0.07906668780767237,-0.05289568573238333,-13.39733190010858
105.1961873823224,0.07914739422510786,-0.05333635014127641,-13.45889817963962
105.681750921366,0.07912605367384146,-0.05324536947447195,-13.51977125927147
106.1695557198726,0.07928776520715999,-0.0533997770570268,-13.58217235477342
106.6596121230259,0.0790301311938274,-0.05367095716858599,-13.64519081013528
107.1519305237608,0.07889130198253913,-0.05407106404468949,-13.7101455171583
107.6465213629836,0.07918169448539109,-0.05381686368989685,-13.77167033741623
108.1433951297939,0.07914866370658864,-0.05405677052029605,-13.83533348012205
108.6425623617067,0.07874148521245695,-0.05425397324988501,-13.89980597301063
109.1440336448758,0.07871036172872034,-0.05430169557328855,-13.96184539004221
109.6478196143186,0.07883667906548578,-0.05462203899277844,-14.02686813491336
110.1539309541416,0.07886998277107225,-0.05441554688747512,-14.09156078750349
110.6623783977667,0.07889262321203031,-0.05448466692162938,-14.15618544172112
111.1731727281593,0.07876349783294448,-0.05479724399439598,-14.22178867192387
111.6863247780562,0.07907223137601019,-0.05537323696962772,-14.28683339001766
112.2018454301965,0.07879869664104888,-0.05509133484863343,-14.35382373423889
112.7197456175512,0.07891482229276767,-0.05538389013042586,-14.41843543041571
113.2400363235558,0.07890840519515391,-0.05560715617862964,-14.48575007596972
113.7627285823432,0.07887205038944764,-0.05602865625563932,-14.55270104880994
114.2878334789773,0.07865860716117572,-0.0557815369954113,-14.62033260188739
114.8153621496884,0.0788678995134854,-0.05616475687623255,-14.68748406544879
115.3453257821094,0.07876480370061295,-0.05638605088624714,-14.75574196639599
115.8777356155127,0.0789196794553894,-0.05641229625486903,-14.82302237397781
116.4126029410493,0.07888942853296721,-0.05686860930572191,-14.89051824236037
116.9499391019872,0.07909917772747235,-0.05705411279710215,-14.95983317827361
117.4897554939531,0.07893601383837043,-0.05731203564504254,-15.02925358843781
118.0320635651731,0.07866386141938438,-0.05721022847538442,-15.0975029645784
118.5768748167161,0.07875210188034927,-0.05763341016314676,-15.16695875299037
119.1242008027376,0.07898095463285508,-0.05794661288048186,-15.23713923955444
119.6740531307245,0.07896375272225603,-0.05789313651327055,-15.30701634567892
120.2264434617414,0.07845826700075584,-0.05777126241429308,-15.37709448601612
120.7813835106782,0.07886642001254425,-0.05839174234246924,-15.44685463272457
121.3388850464979,0.07887526256987749,-0.05830322970772041,-15.51830446387484
121.8989598924868,0.07877433432427654,-0.05861692456792493,-15.58994923738726
122.461619926505,0.07907082178689046,-0.05895294103596297,-15.66250439121328
123.0268770812383,0.07896770747327125,-0.05922003112628121,-15.73620726878228
123.5947433444512,0.07904056531627428,-0.05923150701396357,-15.80749902280269
124.1652307592413,0.07880074055628228,-0.05912671507418336,-15.8803768898524
124.7383514242945,0.07897164506476402,-0.05934537416736994,-15.95308952173869
125.3141174941417,0.07903722414861047,-0.05966224760060164,-16.0254553692453
125.8925411794169,0.07890713156333121,-0.05973967914445344,-16.09887864979222
126.4736347471153,0.0789791625016435,-0.05983664822110852,-16.1742934817641
127.0574105208543,0.07868764528610978,-0.06018784976413227,-16.24876472744127
127.6438808811345,0.07918784830846819,-0.06081285183808151,-16.32421181753074
128.2330582656023,0.07899082331792878,-0.06083925692815918,-16.39865220663971
128.8249551693136,0.07895167692513637,-0.06103824576534995,-16.47335424492354
129.4195841449988,0.07889486419227662,-0.06118528587888547,-16.55064931860845
130.0169578033292,0.0789335815500781,-0.06141563667071754,-16.62741718348865
130.6170888131843,0.07866893720367031,-0.06160259532287399,-16.70276090568478
131.2199899019204,0.07863024425387757,-0.06170077087946341,-16.7795238330135
131.8256738556409,0.07886318885476851,-0.0618013781220543,-16.85790390460733
132.4341535194666,0.07913981007952692,-0.06241362095690389,-16.93649902316183
133.0454417978093,0.07900533157424541,-0.06260216752064268,-17.01411331858594
133.6595516546443,0.07915259671413161,-0.06250122186710448,-17.09207308536595
134.2764961137865,0.07866118174759665,-0.06270475836880908,-17.16973951893166
134.8962882591655,0.07888052302655887,-0.06300206408621047,-17.2501907696569
135.5189412351038,0.07906658560595575,-0.06333838910440387,-17.32896381893252
136.1444682465951,0.07901525760942536,-0.06338220689385882,-17.40878928399543
136.7728825595851,0.07878068619954592,-0.06364565976179122,-17.49005461670279
137.4041975012516,0.07894337086279463,-0.06405908639726236,-17.5711041975118
138.0384264602887,0.07863134814551599,-0.06411304451591046,-17.6510884219725
138.675582887189,0.07880896653443005,-0.06419398670475628,-17.73166590875763
139.3156802945304,0.07901011835116076,-0.06469158340843233,-17.81457519680008
139.9587322572619,0.07896690399053477,-0.06508258396048444,-17.89651543530969
