Time (s),Channel 1 (V),Channel 2 (V)
0.01186211,-0.3794683324002921,-0.3537540578799344
0.01186263,-0.3784560781417193,-0.3527416699349952
0.01186315,-0.3774438238831467,-0.3520667446383692
0.01186367,-0.375419315366004,-0.3507168940451182
0.01186419,-0.3750818972798115,-0.350041968748492
0.01186471,-0.3737322249350524,-0.3490295808035562
0.01186523,-0.3730573887626707,-0.3483546555069305
0.01186575,-0.3710328802455267,-0.3470048049136782
0.01186627,-0.3700206259869578,-0.3453174916721194
0.01186679,-0.3690083717283854,-0.3446425663754917
0.01186731,-0.3683335355560037,-0.3439676410788661
0.01186783,-0.3669838632112403,-0.3422803278373016
0.01186835,-0.3649593546940971,-0.3405930145957385
0.01186887,-0.3642845185217169,-0.340255551947427
0.01186939,-0.3642845185217169,-0.3405930145957388
0.01186991,-0.3636096823493359,-0.339580626650801
0.01187043,-0.3625974280907633,-0.3375558507609246
0.01187095,-0.3615851738321945,-0.3372183881126129
0.01187147,-0.360572919573622,-0.3358685375193629
0.01187199,-0.3592232472288596,-0.3351936122227366
0.01187251,-0.357536156797906,-0.3335062989811725
0.01187303,-0.3568613206255234,-0.3324939110362333
0.01187355,-0.3548368121083802,-0.3308065977946703
0.01187407,-0.3538245578498114,-0.3301316724980468
0.01187459,-0.3528123035912389,-0.3291192845531082
0.01187511,-0.3518000493326663,-0.3281068966081692
0.01187563,-0.3507877950740975,-0.327094508663234
0.01187615,-0.3487632865569553,-0.3257446580699833
0.01187667,-0.3480884503845718,-0.3247322701250439
0.01187719,-0.3484258684707615,-0.3243948074767304
0.01187771,-0.3474136142121894,-0.3237198821801045
0.01187823,-0.3464013599536163,-0.3227074942351656
0.01187875,-0.3450516876088578,-0.3216951062902303
0.01187927,-0.3430271790917134,-0.3203452556969787
0.01187979,-0.3416775067469507,-0.3189954051037273
0.01188031,-0.3403278344021916,-0.3173080918621677
0.01188083,-0.339652998229809,-0.3166331665655402
0.01188135,-0.3389781620574274,-0.3162957039172268
0.01188187,-0.337628489712664,-0.3152833159722877
0.01188239,-0.3356039811955199,-0.3132585400824108
0.01188291,-0.3335794726783767,-0.3112337641925347
0.01188343,-0.3325672184198079,-0.3102213762475995
0.01188395,-0.3312175460750448,-0.3085340630060352
0.01188447,-0.3302052918164728,-0.3078591377094095
0.01188499,-0.3291930375579035,-0.3071842124127857
0.01188551,-0.3278433652131413,-0.3058343618195357
0.01188603,-0.3271685290407588,-0.3054968991712213
0.01188655,-0.3258188566959963,-0.3038095859296578
0.01188707,-0.3244691843512323,-0.3027971979847179
0.01188759,-0.3224446758340885,-0.3007724220948419
0.01188811,-0.3210950034893301,-0.2997600341499067
0.01188863,-0.3197453311445667,-0.2984101835566551
0.01188915,-0.3194079130583758,-0.2977352582600294
0.01188967,-0.3187330768859928,-0.2970603329634025
0.01189019,-0.3170459864550448,-0.2957104823701555
0.01189071,-0.3153588960240906,-0.2943606317769036
0.01189123,-0.3143466417655182,-0.2926733185353396
0.01189175,-0.3129969694207549,-0.291323467942088
0.01189227,-0.311647297075993,-0.2903110799971496
0.01189279,-0.3109724609036135,-0.2892986920522139
0.01189331,-0.3099602066450418,-0.2889612294039004
0.01189383,-0.3082731162140879,-0.2876113788106491
0.01189435,-0.306586025783135,-0.2865989908657093
0.01189487,-0.3059111896107559,-0.2849116776241504
0.01189539,-0.3042240991798038,-0.2832243643825864
0.01189591,-0.3018621725764685,-0.2815370511410215
0.01189643,-0.3005125002317064,-0.2801872005477704
0.01189695,-0.3005125002317046,-0.2798497378994572
0.01189747,-0.2991628278869455,-0.2791748126028334
0.01189799,-0.2974757374559924,-0.2781624246578952
0.01189851,-0.2961260651112292,-0.2761376487680184
0.01189903,-0.2954512289388475,-0.2754627234713922
0.01189955,-0.2944389746802782,-0.2741128728781445
0.01190007,-0.2934267204217062,-0.2731004849332056
0.01190059,-0.2920770480769431,-0.271750634339954
0.01190111,-0.2903899576459895,-0.2707382463950148
0.01190163,-0.2893777033874166,-0.2693883958017634
0.01190215,-0.2876906129564685,-0.2680385452085164
0.01190267,-0.2860035225255143,-0.2666886946152645
0.01190319,-0.2843164320945603,-0.2650013813736999
0.01190371,-0.2829667597497978,-0.2636515307804489
0.01190423,-0.2819545054912286,-0.2626391428355132
0.01190475,-0.2802674150602761,-0.2612892922422624
0.01190527,-0.2795925788878935,-0.2606143669456358
0.01190579,-0.2779054884569402,-0.259601979000697
0.01190631,-0.2765558161121768,-0.2579146657591335
0.01190683,-0.2752061437674127,-0.2572397404625053
0.01190735,-0.2735190533364646,-0.2555524272209465
0.01190787,-0.2725067990778923,-0.2545400392760077
0.01190839,-0.2711571267331289,-0.2531901886827558
0.01190891,-0.2698074543883704,-0.2518403380895088
0.01190943,-0.2687952001297974,-0.2504904874962569
0.01190995,-0.2671081096988437,-0.2494780995513176
0.01191047,-0.2650836011816999,-0.2477907863097535
0.01191099,-0.2637339288369366,-0.2461034730681891
0.01191151,-0.2623842564921739,-0.2447536224749378
0.01191203,-0.2610345841474148,-0.2434037718816902
0.01191255,-0.2603597479750331,-0.2427288465850642
0.01191307,-0.2590100756302698,-0.2420539212884376
0.01191359,-0.2576604032855113,-0.2407040706951906
0.01191411,-0.2552984766821773,-0.238679294805314
0.01191463,-0.2539488043374136,-0.2369919815637496
0.01191515,-0.2532739681650309,-0.2359795936188097
0.01191567,-0.2509120415616968,-0.2336173550806221
0.01191619,-0.2498997873031267,-0.2336173550806208
0.01191671,-0.2498997873031267,-0.232942429783997
0.01191723,-0.2485501149583645,-0.2315925791907461
0.01191775,-0.24686302452741,-0.2302427285974938
0.01191827,-0.2448385160102724,-0.2285554153559351
0.01191879,-0.2431514255793175,-0.2272055647626825
0.01191931,-0.2424765894069353,-0.2261931768177438
0.01191983,-0.2407894989759815,-0.2251807888728045
0.01192035,-0.239102408545029,-0.2234934756312413
0.01192087,-0.2384275723726449,-0.2228185503346135
0.01192139,-0.2364030638555072,-0.2211312370930547
0.01192191,-0.2347159734245527,-0.2194439238514899
0.01192243,-0.2333663010797894,-0.2177566106099259
0.01192295,-0.2320166287350309,-0.2170816853133024
0.01192347,-0.229654702131698,-0.2150569094234279
0.01192399,-0.2279676117007429,-0.21303213353355
0.01192451,-0.2269553574421703,-0.2123572082369234
0.01192503,-0.2266179393559778,-0.2116822829402966
0.01192555,-0.2242560127526438,-0.2096575070504199
0.01192607,-0.2229063404078853,-0.2083076564571729
0.01192659,-0.2225689223216936,-0.2072952685122337
0.01192711,-0.2205444138045496,-0.2059454179189824
0.01192763,-0.2188573233736008,-0.2045955673257348
0.01192815,-0.2168328148564573,-0.2029082540841712
0.01192867,-0.2161579786840738,-0.2018958661392314
0.01192919,-0.215145724425501,-0.2005460155459795
0.01192971,-0.2131212159083566,-0.1988587023044154
0.01193023,-0.2107592893050237,-0.1971713890628511
0.01193075,-0.2100844531326445,-0.1958215384696041
0.01193127,-0.2087347807878818,-0.1948091505246648
0.01193179,-0.2067102722707378,-0.1934592999314137
0.01193231,-0.205023181839789,-0.192446911986478
0.01193283,-0.2036735094950256,-0.190759598744915
0.01193335,-0.2023238371502623,-0.1890722855033502
0.01193387,-0.2013115828916901,-0.187384972261786
0.01193439,-0.1999619105469267,-0.1860351216685344
0.01193491,-0.1986122382021615,-0.1850227337235949
0.01193543,-0.1962503115988342,-0.1836728831303479
0.01193595,-0.1942258030816889,-0.1819855698887833
0.01193647,-0.1938883849954978,-0.1813106445921575
0.01193699,-0.1925387126507339,-0.1802982566472172
0.01193751,-0.1908516222197859,-0.1782734807573467
0.01193803,-0.1888271137026413,-0.1759112422191563
0.01193855,-0.1874774413578782,-0.1752363169225299
0.01193907,-0.1857903509269238,-0.1738864663292777
0.01193959,-0.1837658424097815,-0.172199153087714
0.01194011,-0.183091006237402,-0.1708493024944663
0.01194063,-0.1824161700650206,-0.1705118398461526
0.01194115,-0.1807290796340667,-0.1684870639562759
0.01194167,-0.178704571116923,-0.1674746760113366
0.01194219,-0.1776923168583542,-0.1661248254180896
0.01194271,-0.1763426445135919,-0.1641000495282135
0.01194323,-0.1746555540826381,-0.163762586879899
0.01194375,-0.1729684636516839,-0.1624127362866462
0.01194427,-0.1712813732207309,-0.1600504977484583
0.01194479,-0.1699317008759718,-0.1590381098035225
0.01194531,-0.1685820285312091,-0.1580257218585841
0.01194583,-0.166894938100255,-0.1556634833203943
0.01194635,-0.1652078476693019,-0.1543136327271433
0.01194687,-0.1638581753245429,-0.1533012447822076
0.01194739,-0.1621710848935899,-0.1519513941889567
0.01194791,-0.1601465763764452,-0.1495891556507668
0.01194843,-0.1591343221178727,-0.1492516930024526
0.01194895,-0.1581220678592997,-0.1475643797608894
0.01194947,-0.1564349774283516,-0.1465519918159542
0.01194999,-0.1537356327388263,-0.1441897532777651
0.01195051,-0.1520485423078721,-0.1421649773878876
0.01195103,-0.1513737061354901,-0.1411525894429488
0.01195155,-0.1500240337907311,-0.1398027388497012
0.01195207,-0.1476621071873976,-0.1381154256081375
0.01195259,-0.1466498529288239,-0.1374405003115106
0.01195311,-0.1456375986702511,-0.1360906497182588
0.01195363,-0.1429382539807262,-0.1337284111800689
0.01195415,-0.1415885816359628,-0.1320410979385048
0.01195467,-0.1402389092912044,-0.1306912473452578
0.01195519,-0.1378769826878701,-0.1293413967520065
0.01195571,-0.1372021465154887,-0.1283290088070679
0.01195623,-0.1368647284292991,-0.1276540835104444
0.01195675,-0.1351776379983473,-0.1263042329171937
0.01195727,-0.1331531294812026,-0.1242794570273164
0.01195779,-0.1314660390502491,-0.1232670690823775
0.01195831,-0.1294415305331045,-0.1212422931925005
0.01195883,-0.1277544401021523,-0.1198924425992486
0.01195935,-0.126742185843583,-0.1182051293576891
0.01195987,-0.1250550954126299,-0.116517816116125
0.01196039,-0.1237054230678662,-0.1148305028745607
0.01196091,-0.1220183326369181,-0.1138181149296254
0.01196143,-0.1199938241197737,-0.1131431896329989
0.01196195,-0.1179693156026296,-0.1111184137431231
0.01196247,-0.116957061344056,-0.109431100501558
0.01196299,-0.114595134740722,-0.1074063246116819
0.01196351,-0.1135828804821487,-0.1067313993150544
0.01196403,-0.1118957900511999,-0.1050440860734949
0.01196455,-0.1112209538788181,-0.1040316981285561
0.01196507,-0.1098712815340544,-0.1023443848869912
0.01196559,-0.1081841911031063,-0.1006570716454325
0.01196611,-0.1058222644997717,-0.09863229575555522
0.01196663,-0.1048100102411984,-0.09761990781061582
0.01196715,-0.1031229198102447,-0.09627005721736422
0.01196767,-0.1017732474654816,-0.09525766927242481
0.01196819,-0.100086157034528,-0.0932328933825488
0.01196871,-0.09873648468976959,-0.09222050543761354
0.01196923,-0.0970493942588157,-0.09019572954773658
0.01196975,-0.09502488574167066,-0.08918334160279702
0.01197027,-0.09300037722453301,-0.08749602836123828
0.01197079,-0.09165070487976905,-0.08580871511967417
0.01197131,-0.0899636144488153,-0.08412140187810925
0.01197183,-0.08827652401786157,-0.08209662598823186
0.01197235,-0.08760168784547989,-0.08074677539498148
0.01197287,-0.08658943358690553,-0.08040931274666664
0.01197339,-0.08456492506976786,-0.07905946215341964
0.01197391,-0.08220299846643231,-0.07737214891185507
0.01197443,-0.08085332612166941,-0.07602229831860331
0.01197495,-0.07916623569072058,-0.07366005978041998
0.01197547,-0.076804309087387,-0.0719727465388546
0.01197599,-0.07511721865643191,-0.06961050800066469
0.01197651,-0.07343012822547787,-0.06792319475909979
0.01197703,-0.07208045588071543,-0.06691080681416131
0.01197755,-0.07106820162214045,-0.06589841886922117
0.01197807,-0.06870627501881317,-0.0642111056276624
0.01197859,-0.06668176650166782,-0.06286125503441017
0.01197911,-0.06634434841547637,-0.06218632973778406
0.01197963,-0.0643198398983378,-0.06049901649622454
0.01198015,-0.06195791329500361,-0.05813677795803599
0.01198067,-0.06094565903642925,-0.0567869273647827
0.01198119,-0.05925856860547613,-0.05476215147490605
0.01198171,-0.05824631434690269,-0.05374976352996681
0.01198223,-0.05622180582975828,-0.05239991293671552
0.01198275,-0.05453471539881022,-0.05138752499178026
0.01198327,-0.05352246114023755,-0.05003767439852926
0.01198379,-0.0521727887954745,-0.04801289850865231
0.01198431,-0.05116053453690015,-0.04733797321202451
0.01198483,-0.04879860793357287,-0.04531319732215401
0.01198535,-0.04778635367499851,-0.04430080937721369
0.01198587,-0.04542442707166432,-0.04193857083902453
0.01198639,-0.0433999185545199,-0.04025125759745964
0.01198691,-0.04205024620975625,-0.03856394435589598
0.01198743,-0.04002573769261765,-0.03721409376264835
0.01198795,-0.03800122917547354,-0.03518931787277202
0.01198847,-0.03665155683071004,-0.03451439257614498
0.01198899,-0.03563930257213706,-0.03282707933458055
0.01198951,-0.03428963022737861,-0.03147722874133355
0.01199003,-0.03260253979642565,-0.03012737814808225
0.01199055,-0.03057803127928092,-0.02877752755483033
0.01199107,-0.02889094084832703,-0.02709021431326544
0.01199159,-0.02754126850356475,-0.02540290107170177
0.01199211,-0.02652901424499546,-0.02405305047845415
0.01199263,-0.0255167599864234,-0.02304066253351537
0.01199315,-0.02349225146927852,-0.02135334929195079
0.01199367,-0.02079290677975365,-0.01966603605038635
0.01199419,-0.01876839826261507,-0.01764126016051493
