Time (s),Channel 1 (V),Channel 2 (V)
0.0113902875,-2.139511022979071,-0.02135334929195155
0.0113905575,-2.146933488248955,-0.02135334929195155
0.0113908275,-2.15435595351884,-0.02169081194026422
0.0113910975,-2.165489651423659,-0.02169081194026361
0.0113913675,-2.16920088405861,-0.02101588664363934
0.0113916375,-2.180334581963432,-0.02135334929195002
0.0113919075,-2.187757047233296,-0.02067842399532621
0.0113921775,-2.187757047233319,-0.02067842399532621
0.0113924475,-2.195179512503203,-0.02067842399532621
0.0113927175,-2.202601977773039,-0.02067842399532621
0.0113929875,-2.210024443042923,-0.02034096134701415
0.0113932575,-2.213735675677871,-0.02034096134701354
0.0113935275,-2.217446908312813,-0.02034096134701354
0.0113937975,-2.221158140947755,-0.02034096134701354
0.0113940675,-2.228580606217637,-0.02067842399532621
0.0113943375,-2.23600307148752,-0.02135334929195125
0.0113946075,-2.2434255367574,-0.02067842399532651
0.0113948775,-2.247136769392342,-0.02101588664363888
0.0113951475,-2.250848002027284,-0.02101588664363827
0.0113954175,-2.254559234662234,-0.02067842399532544
0.0113956875,-2.26198169993207,-0.02034096134701477
0.0113959575,-2.261981699932097,-0.02000349869870194
0.0113962275,-2.261981699932097,-0.02000349869870087
0.0113964975,-2.269404165201964,-0.02034096134701292
0.0113967675,-2.273115397836913,-0.02034096134701354
0.0113970375,-2.287960328376664,-0.02000349869870117
0.0113973075,-2.291671561011616,-0.02000349869870087
0.0113975775,-2.299094026281498,-0.01966603605038819
0.0113978475,-2.306516491551378,-0.01966603605038819
0.0113981175,-2.306516491551382,-0.01966603605038789
0.0113983875,-2.310227724186318,-0.01932857340207506
0.0113986575,-2.310227724186311,-0.01899111075376285
0.0113989275,-2.306516491551386,-0.01899111075376285
0.0113991975,-2.310227724186318,-0.01899111075376193
0.0113994675,-2.31022772418633,-0.01865364810545125
0.0113997375,-2.313938956821248,-0.01899111075376193
0.0114000075,-2.313938956821258,-0.01899111075376285
0.0114002775,-2.313938956821258,-0.01899111075376285
0.0114005475,-2.313938956821258,-0.01865364810545064
0.0114008175,-2.317650189456195,-0.01865364810545018
0.0114010875,-2.321361422091138,-0.01831618545713751
0.0114013575,-2.32136142209114,-0.01831618545713751
0.0114016275,-2.325072654726075,-0.01831618545713751
0.0114018975,-2.321361422091143,-0.01831618545713705
0.0114021675,-2.325072654726078,-0.01797872280882484
0.0114024375,-2.325072654726087,-0.0179787228088256
0.0114027075,-2.328783887361008,-0.01831618545713751
0.0114029775,-2.32507265472609,-0.01831618545713751
0.0114032475,-2.325072654726078,-0.01797872280882576
0.0114035175,-2.325072654726078,-0.01831618545713674
0.0114037875,-2.325072654726078,-0.01764126016051339
0.0114040575,-2.325072654726078,-0.01764126016051216
0.0114043275,-2.325072654726078,-0.0173037975121998
0.0114045975,-2.328783887361017,-0.01730379751219949
0.0114048675,-2.328783887361018,-0.01696633486388682
0.0114051375,-2.325072654726076,-0.01662887221557415
0.0114054075,-2.321361422091133,-0.01662887221557461
0.0114056775,-2.317650189456205,-0.01696633486388621
0.0114059475,-2.32136142209113,-0.01662887221557415
0.0114062175,-2.317650189456188,-0.01662887221557415
0.0114064875,-2.313938956821235,-0.01662887221557522
0.0114067575,-2.306516491551378,-0.01696633486388559
0.0114070275,-2.306516491551378,-0.01662887221557491
0.0114072975,-2.306516491551378,-0.01696633486388621
0.0114075675,-2.306516491551378,-0.0162914095672624
0.0114078375,-2.299094026281504,-0.01629140956726148
0.0114081075,-2.299094026281498,-0.01595394691894896
0.0114083775,-2.299094026281498,-0.01629140956726148
0.0114086475,-2.291671561011618,-0.01595394691894865
0.0114089175,-2.291671561011611,-0.01561648427063613
0.0114091875,-2.284249095741727,-0.01561648427063521
0.0114094575,-2.276826630471857,-0.01494155897401018
0.0114097275,-2.276826630471857,-0.0146040963256972
0.0114099975,-2.276826630471857,-0.01426663367738668
0.0114102675,-2.273115397836928,-0.0146040963256972
0.0114105375,-2.269404165201986,-0.01494155897401002
0.0114108075,-2.261981699932111,-0.01426663367738668
0.0114110775,-2.258270467297162,-0.01426663367738545
0.0114113475,-2.250848002027284,-0.01359170838076072
0.0114116175,-2.247136769392339,-0.0135917083807601
0.0114118875,-2.239714304122457,-0.01392917102907277
0.0114121575,-2.232291838852576,-0.01359170838076026
0.0114124275,-2.232291838852566,-0.01392917102907277
0.0114126975,-2.221158140947752,-0.01392917102907277
0.0114129675,-2.217446908312803,-0.01392917102907155
0.0114132375,-2.210024443042911,-0.01325424573244743
0.0114135075,-2.198890745138116,-0.01325424573244743
0.0114137775,-2.198890745138081,-0.01325424573244743
0.0114140475,-2.187757047233326,-0.01325424573244743
0.0114143175,-2.187757047233296,-0.01291678308413553
0.0114145875,-2.180334581963429,-0.01291678308413476
0.0114148575,-2.172912116693542,-0.01291678308413476
0.0114151275,-2.16177841878872,-0.01257932043582224
0.0114153975,-2.158067186153775,-0.01224185778750942
0.0114156675,-2.146933488248953,-0.01224185778750942
0.0114159375,-2.143222255614005,-0.01224185778750911
0.0114162075,-2.13208855770918,-0.01190439513919674
0.0114164775,-2.120954859804368,-0.01190439513919736
0.0114167475,-2.117243627169409,-0.01224185778750942
0.0114170175,-2.106109929264594,-0.01224185778750666
0.0114172875,-2.098687463994758,-0.01122946984257462
0.0114175575,-2.087553766089944,-0.01089200719425965
0.0114178275,-2.083842533454982,-0.01089200719425873
0.0114180975,-2.072708835550174,-0.01089200719425873
0.0114183675,-2.065286370280284,-0.01055454454594652
0.0114186375,-2.050441439740526,-0.01055454454594606
0.0114189075,-2.039307741835698,-0.01055454454594606
0.0114191775,-2.031885276565809,-0.01055454454594591
0.0114194475,-2.024462811295923,-0.01021708189763277
0.0114197175,-2.013329113391102,-0.009542156601008501
0.0114199875,-2.005906648121206,-0.0098796192493201
0.0114202575,-1.991061717581447,-0.009542156601008808
0.0114205275,-1.979928019676622,-0.009879619249319793
0.0114207975,-1.968794321771796,-0.009542156601010189
0.0114210675,-1.957660623867042,-0.01021708189763154
0.0114213375,-1.946526925962217,-0.009204693952697672
0.0114216075,-1.931681995422458,-0.00920469395269537
0.0114218775,-1.920548297517626,-0.008867231304383159
0.0114221475,-1.901992134342927,-0.008529768656070334
0.0114224175,-1.894569669073034,-0.008192306007757508
0.0114226875,-1.88714720380315,-0.008192306007757355
0.0114229575,-1.876013505898325,-0.007517380711132165
0.0114232275,-1.864879807993496,-0.007854843359444376
0.0114234975,-1.850034877453729,-0.007517380711132012
0.0114237675,-1.838901179548904,-0.007517380711132012
0.0114240375,-1.827767481644079,-0.00751738071113109
0.0114243075,-1.816633783739324,-0.007179918062820414
0.0114245775,-1.805500085834499,-0.00717991806281934
0.0114248475,-1.790655155294742,-0.00717991806281934
0.0114251175,-1.783232690024842,-0.006842455414507283
0.0114253875,-1.764676526850153,-0.006842455414506668
0.0114256575,-1.749831596310381,-0.006504992766194304
0.0114259275,-1.731275433135676,-0.006504992766193997
0.0114261975,-1.727564200500727,-0.006167530117881325
0.0114264675,-1.70900803732602,-0.006167530117881018
0.0114267375,-1.694163106786247,-0.005492604821255982
0.0114270075,-1.671895710976611,-0.005492604821255982
0.0114272775,-1.660762013071779,-0.005492604821255367
0.0114275475,-1.645917082532021,-0.005155142172942542
0.0114278175,-1.634783384627195,-0.004817679524629716
0.0114280875,-1.623649686722324,-0.004480216876317967
0.0114283575,-1.601382290912826,-0.004480216876317967
0.0114286275,-1.582826127738099,-0.004142754228005909
0.0114288975,-1.57169242983326,-0.004142754228005295
0.0114291675,-1.553136266658561,-0.004480216876317659
0.0114294375,-1.542002568753729,-0.004142754228005448
0.0114297075,-1.527157638213964,-0.004142754228005295
0.0114299775,-1.508601475039257,-0.00313036628306728
0.0114302475,-1.49375654449949,-0.003130366283066973
0.0114305175,-1.478911613959723,-0.002792903634754608
0.0114307875,-1.464066683419956,-0.002792903634753994
0.0114310575,-1.449221752880189,-0.002455440986441168
0.0114313275,-1.434376822340516,-0.002117978338130492
0.0114315975,-1.415820659165821,-0.002455440986440861
0.0114318675,-1.397264495991112,-0.002792903634753687
0.0114321375,-1.382419565451335,-0.001780515689818894
0.0114324075,-1.363863402276634,-0.00211797833812865
0.0114326775,-1.352729704371796,-0.001780515689817053
